日期,天气状况,温度,风向风力
2022年01月01日,多云 /  多云,7℃ / -7℃,北风 5-6级 / 北风 5-6级
2022年01月02日,晴 /  多云,0℃ / -7℃,北风 3-4级 / 北风 3-4级
2022年01月03日,多云 /  晴,4℃ / -6℃,西风 4-5级 / 西风 4-5级
2022年01月04日,晴 /  多云,0℃ / -5℃,东北风 3-4级 / 东北风 3-4级
2022年01月05日,多云 /  晴,1℃ / -4℃,西风 4-5级 / 西风 4-5级
2022年01月06日,晴 /  晴,0℃ / -5℃,北风 4-5级 / 北风 4-5级
2022年01月07日,晴 /  晴,5℃ / -3℃,西南风 4-5级 / 西南风 4-5级
2022年01月08日,晴 /  晴,4℃ / -5℃,西风 4-5级 / 西风 4-5级
2022年01月09日,多云 /  多云,0℃ / -5℃,北风 3-4级 / 北风 3-4级
2022年01月10日,阴 /  晴,-2℃ / -8℃,北风 4-5级 / 北风 4-5级
2022年01月11日,晴 /  多云,-5℃ / -9℃,北风 4-5级 / 北风 4-5级
2022年01月12日,小到中雪 /  多云,-1℃ / -7℃,北风 4-5级 / 北风 4-5级
2022年01月13日,晴 /  晴,-2℃ / -7℃,北风 4-5级 / 北风 4-5级
2022年01月14日,晴 /  多云,4℃ / -3℃,西南风 4-5级 / 西南风 4-5级
2022年01月15日,多云 /  晴,4℃ / -7℃,北风 4-5级 / 北风 4-5级
2022年01月16日,晴 /  晴,-1℃ / -8℃,北风 3-4级 / 北风 3-4级
2022年01月17日,晴 /  晴,-1℃ / -8℃,北风 4-5级 / 北风 4-5级
2022年01月18日,多云 /  小雪,2℃ / -7℃,南风 4-5级 / 南风 4-5级
2022年01月19日,多云 /  晴,-7℃ / -12℃,北风 5-6级 / 北风 5-6级
2022年01月20日,晴 /  晴,-5℃ / -11℃,北风 4-5级 / 北风 4-5级
,,,
2022年01月21日,多云 /  小雪,-2℃ / -8℃,北风 3-4级 / 北风 3-4级
2022年01月22日,小雪 /  多云,0℃ / -6℃,北风 4-5级 / 北风 4-5级
2022年01月23日,晴 /  晴,-2℃ / -6℃,北风 4-5级 / 北风 4-5级
2022年01月24日,多云 /  多云,-2℃ / -6℃,北风 4-5级 / 北风 4-5级
2022年01月25日,多云 /  晴,2℃ / -6℃,西北风 4-5级 / 西北风 4-5级
2022年01月26日,多云 /  多云,-1℃ / -5℃,北风 4-5级 / 北风 4-5级
2022年01月27日,晴 /  多云,-2℃ / -5℃,北风 3-4级 / 北风 3-4级
2022年01月28日,晴 /  晴,-2℃ / -6℃,北风 3-4级 / 北风 3-4级
2022年01月29日,晴 /  晴,-1℃ / -6℃,北风 3-4级 / 北风 3-4级
2022年01月30日,晴 /  多云,3℃ / -3℃,西北风 4-5级 / 西北风 4-5级
2022年01月31日,小雪 /  多云,3℃ / -6℃,北风 4-5级 / 北风 4-5级
2022年02月01日,晴 /  晴,-3℃ / -6℃,北风 4-5级 / 北风 4-5级
2022年02月02日,晴 /  晴,0℃ / -5℃,西北风 3-4级 / 西北风 3-4级
2022年02月03日,晴 /  晴,1℃ / -7℃,北风 3-4级 / 北风 3-4级
2022年02月04日,多云 /  晴,-4℃ / -9℃,西北风 4-5级 / 西北风 4-5级
2022年02月05日,晴 /  晴,0℃ / -6℃,西北风 4-5级 / 西北风 4-5级
2022年02月06日,晴 /  多云,0℃ / -3℃,西北风 4-5级 / 西北风 4-5级
2022年02月07日,多云 /  晴,3℃ / -3℃,北风 3-4级 / 北风 3-4级
2022年02月08日,晴 /  晴,5℃ / -1℃,西南风 3-4级 / 西南风 3-4级
2022年02月09日,晴 /  晴,7℃ / 1℃,西南风 3-4级 / 西南风 3-4级
2022年02月10日,晴 /  晴,8℃ / 1℃,西南风 3-4级 / 西南风 3-4级
2022年02月11日,晴 /  晴,7℃ / -2℃,北风 4-5级 / 北风 4-5级
2022年02月12日,多云 /  阴,2℃ / -4℃,东北风 4-5级 / 东北风 4-5级
2022年02月13日,阴 /  小到中雪,2℃ / -6℃,东北风 4-5级 / 东北风 4-5级
2022年02月14日,阵雪 /  晴,-5℃ / -9℃,北风 4-5级 / 北风 4-5级
2022年02月15日,多云 /  多云,-7℃ / -9℃,西北风 4-5级 / 西北风 4-5级
2022年02月16日,多云 /  晴,-6℃ / -9℃,北风 4-5级 / 北风 4-5级
2022年02月17日,晴 /  多云,-2℃ / -8℃,北风 3-4级 / 北风 3-4级
2022年02月18日,阴 /  多云,2℃ / -6℃,西南风 4-5级 / 西南风 4-5级
2022年02月19日,晴 /  晴,-4℃ / -7℃,西北风 4-5级 / 西北风 4-5级
2022年02月20日,晴 /  晴,1℃ / -7℃,西北风 4-5级 / 西北风 4-5级
,,,
2022年02月21日,晴 /  小雪,-2℃ / -6℃,北风 4-5级 / 北风 4-5级
2022年02月22日,晴 /  晴,-2℃ / -7℃,西北风 4-5级 / 西北风 4-5级
2022年02月23日,晴 /  晴,2℃ / -5℃,西风 4-5级 / 西风 4-5级
2022年02月24日,晴 /  晴,7℃ / 1℃,西南风 4-5级 / 西南风 4-5级
2022年02月25日,晴 /  雨夹雪,9℃ / 3℃,西南风 4-5级 / 西南风 4-5级
2022年02月26日,多云 /  晴,6℃ / 2℃,北风 4-5级 / 北风 4-5级
2022年02月27日,晴 /  晴,10℃ / 2℃,西南风 3-4级 / 西南风 3-4级
2022年02月28日,多云 /  阴,10℃ / 0℃,南风 4-5级 / 南风 4-5级
2022年03月01日,晴 /  晴,5℃ / 1℃,西北风 3-4级 / 西北风 3-4级
