行业,富豪数量,总财富,平均财富
房地产,51,11858.0,232.50980392156862
医药,40,8707.0,217.675
投资,36,9182.0,255.05555555555554
半导体,23,4516.0,196.34782608695653
投资、房地产,15,1926.0,128.4
房地产、投资,13,2292.0,176.30769230769232
钢铁,13,2937.0,225.92307692307693
食品,13,1594.0,122.61538461538461
化工,13,1687.0,129.76923076923077
电子商务、金融科技,12,3082.0,256.8333333333333
金融服务,11,3250.0,295.45454545454544
游戏,11,2265.0,205.9090909090909
餐饮,10,1766.0,176.6
电子元件,9,904.0,100.44444444444444
锂电池,9,4190.0,465.55555555555554
化纤,9,1110.0,123.33333333333333
物流,9,1485.0,165.0
医疗器械,8,1695.0,211.875
生物医药,8,563.0,70.375
汽车零部件,8,550.0,68.75
食品和饮料,8,1225.0,153.125
服装,8,1028.0,128.5
消费电子产品,8,1555.0,194.375
体育用品,7,1250.0,178.57142857142858
调味品,7,2925.0,417.85714285714283
饮料,6,1385.0,230.83333333333334
生活服务,6,1325.0,220.83333333333334
生物制药,6,733.0,122.16666666666667
软件与信息服务,6,555.0,92.5
互联网服务,6,4925.0,820.8333333333334
化妆品,6,585.0,97.5
医疗服务,6,910.0,151.66666666666666
光伏设备,5,740.0,148.0
设备制造,5,315.0,63.0
快递,5,1403.0,280.6
电子器件制造,5,975.0,195.0
重型机械,5,930.0,186.0
畜牧,4,1610.0,402.5
博彩,4,1330.0,332.5
家具,4,245.0,61.25
机械制造,4,375.0,93.75
汽车、充电电池,4,1715.0,428.75
医疗设备,4,595.0,148.75
玻璃,4,660.0,165.0
日化用品,4,605.0,151.25
智能硬件与技术,4,855.0,213.75
小家电,4,820.0,205.0
网络游戏,4,520.0,130.0
白酒,4,860.0,215.0
教育,4,351.0,87.75
鞋业,4,965.0,241.25
汽车销售,4,373.0,93.25
网络游戏、电商,4,702.0,175.5
通信设备,4,490.0,122.5
能源,4,755.0,188.75
石油化工,4,308.0,77.0
硅材料,4,1135.0,283.75
保险,3,985.0,328.3333333333333
人工智能,3,215.0,71.66666666666667
通信,3,219.0,73.0
钛白粉,3,260.0,86.66666666666667
银行业,3,345.0,115.0
企业服务,3,440.0,146.66666666666666
新能源汽车,3,718.0,239.33333333333334
饲料,3,380.0,126.66666666666667
房地产、金融,3,530.0,176.66666666666666
房地产、航空、零售,3,345.0,115.0
无人机,3,570.0,190.0
